Product Name,Product Image URL,Product Description
Gartenmöbel-Set Aruba/Elise,https://media.cdn.bauhaus/m/1192556/15.jpg,"Das 9-teilige Set Aruba/Elise überzeugt durch schlichte Eleganz und hochwertige Verarbeitung. Es besteht aus einem Dining Tisch aus Kunststoff und 4 bequemen Klappstühlen mit Auflagen aus Baumwolle und Polyester. Die superleichten Stühle sind komplett aus Kunststoff gefertigt und besitzen eine Rückenfläche, die 5-fach verstellbar ist. Um die Optik der Gartenmöbeln langfristig frisch und schön zu erhalten empfiehlt sich eine auf das Material abgestimmte, regelmäßige Reinigung und Pflege."
"Siena Garden

Gartenmöbel-Set Savona hoch/Zurigo",https://media.cdn.bauhaus/m/1236226/15.jpg,"Mit dem Gartenmöbelset Savona/Zurigo lässt sich ein gemütlicher Platz auf der Terrasse oder im Garten schaffen. Die Stühle verfügen über ein robustes Aluminiumgestell, welches stabil aber zugleich angenehm leicht ist. Die Tischplatte besteht zudem aus Teakholz. Die Textilfläche bieten Komfort und bilden ein elegantes Erscheinungsbild. Das Set bietet Platz für bis zu 4 Personen und lädt zum ausgiebigen Entspannen ein. Um die Optik von Gartenmöbeln langfristig frisch und schön zu erhalten empfiehlt sich eine auf das Material abgestimmte, regelmäßige Reinigung und Pflege."
Gartenmöbel-Set Kathrin/Maja,https://media.cdn.bauhaus/m/280330/15.jpg,"Das Gartenmöbel-Set Kathrin/Maja beinhaltet eine umfassende Ausstattung für jede Terrasse. Der Sunfun Kathrin Gartentisch bietet großzügig Platz zum Essen, Verweilen und Genießen. Er überzeugt durch seine Teak-Optik in natürlichem Design. Passend dazu enthält das Set die Sunfun Kathrin Gartenbank, die das Design des Tisches wiederaufnimmt. Bis zu drei Personen können gemütlich auf ihr Platz nehmen. Sowohl für Tisch als auch Bank wurde ausschließlich Akazienholz aus nachhaltigen bewirtschafteten Wäldern verwendet. Ergänzende, flexible Sitzmöglichkeiten bieten drei Maja Regiestühle mit anthrazitfarbenem Gestell aus Aluminium. Dank Klappfunktion kann der Stuhl platzsparend aufbewahrt werden. Der Sitzflächen-Bezug ist graumeliert und aus Textilen gefertigt. Um die Optik von Gartenmöbeln langfristig frisch und schön zu erhalten empfiehlt sich eine auf das Material abgestimmte, regelmäßige Reinigung und Pflege."
"Siena Garden

Gartenmöbel-Set Paleros",https://media.cdn.bauhaus/m/1192625/15.jpg,"Das 5-teilige Dining-Set Paleros überzeugt durch schlichte Eleganz und hochwertige Verarbeitung. Es besteht aus einem klassischen Tisch aus hochwertigem Akazienholz und 4 Stühlen. Die superleichten Stühle sind auch aus hochwertigem Akazienholz gefertigt. Um die Optik der Gartenmöbeln langfristig frisch und schön zu erhalten empfiehlt sich eine auf das Material abgestimmte, regelmäßige Reinigung und Pflege."
"Sunfun

Gartenmöbel-Set Maja/Lisa",https://media.cdn.bauhaus/m/1018838/15.jpg,Das 7-teilige Gartenmöbelset Maja/Lisa von Sunfun besteht aus einem Tisch und sechs Stühlen. Der moderne Gartentisch Maja von Sunfun bietet Platz für bis zu 8 Gäste. Die hochwertigen Glasplatten sind mit einer farblichen Beschichtung versehen und bestens für den Gebrauch im Freien geeignet. Das korrosionsfreie Alugestell macht den Tisch robust gegen Wind und Wetter. Der Tisch ist von 160 cm auf 210 cm ausziehbar. Der Sunfun Gartensessel Lisa lässt sich dank seiner natürlichen und modernen Optik mit braunem Geflecht mit einer Vielzahl von Tischen kombinieren. Das mitgelieferte Sitzkissen in Hellgrau sorgt dabei für einen angenehmen Sitzkomfort. Durch das pulverbeschichtete Aluminiumgestell erhält der Sessel seinen stabilen Stand und die Belastbarkeit von bis zu 100 kg. Wenn der Gartensessel mal nicht gebraucht wird kann er gestapelt und kompakt verstaut werden. Außerdem ist der Sessel UV-beständig und wird fertig montiert geliefert. Hinweis: Möbel werden ohne Dekoration verkauft.
"Sunfun

Gartenmöbel-Set Diana/Pauline",https://media.cdn.bauhaus/m/1435495/15.jpg,Das Sunfun Gartenmöbel-Set Diana/Pauline besteht aus dem Sunfun Gartentisch Diana und 4 Pauline Gartensesseln.
"Plus

Sitzgruppen-Set Basic",https://media.cdn.bauhaus/m/183777/15.jpg,"Der Basic Picknicktisch von Plus bietet großzügig Platz und lädt zum Verweilen ein. Die Oberflächen sind aus ölbehandelter Lärche gefertigt und das Gestell aus feuerverzinktem Stahl. Diese Kombination sorgt nicht nur für Robustheit, sondern auch für ein modernes, schlichtes Design. Die Bänke sind außerdem mit Rückenlehnen versehen, was den Komfort deutlich erhöht."
Gartenmöbel-Set My,https://media.cdn.bauhaus/m/1435283/15.jpg,"Das Gartenmöbel-Set My besteht aus einem massiven Gartentisch und 6 My Gartensesseln. Der massive Holztisch mit X-Fuß-Gestell ist aus robustem Robinienholz gefertigt. Dank seiner perfekten handwerklichen Fertigung zeichnet sich der Tisch durch seine Stabilität und Langlebigkeit aus. Die Gartensessel bestehen aus einem stabilen Metallgestell und ansprechend geformter, breiter Sitzschale aus Kunststoff. Dadurch kann er mit pflegeleichten Materialien punkten und bietet zeitglich überraschenden Komfort."
Gartenmöbel-Set Pauline,https://media.cdn.bauhaus/m/1520853/15.jpg,"Das Gartenmöbel-Set Pauline besteht aus einem Gartentisch und 4 Pauline Gartensesseln. Runde Gartentische haben einen großen Vorteil: in geselliger Runde können entspannt Gespräche geführt werden - und zwar mit jeder Person am Tisch. Der Diningtisch mit einem Durchmesser von 110 cm bietet in diesem Set großzügig Platz für 4 Personen. Die Diningsessel Pauline sind aus hochwertigem, lichtechtem PE-Geflecht in Bambus Grey gefertigt und bestechen durch eine angenehme Haptik. Dank der runden Form und der Sitzauflage in Anthrazit bietet er idealen Sitzkomfort. Das Untergestell aus Aluminium und die Füße aus Akazienholz in X-Form sorgen für Stabilität und ein modernes Design."
"Plus

Sitzgruppen-Set Basic",https://media.cdn.bauhaus/m/276271/15.jpg,"Der Basic Picknicktisch von Plus bietet großzügig Platz und lädt zum Verweilen ein. Die Oberflächen sind aus ölbehandelter Lärche gefertigt und das Gestell aus feuerverzinktem Stahl. Diese Kombination sorgt nicht nur für Robustheit, sondern auch für ein modernes, schlichtes Design."
"Sunfun

Gartenmöbel-Set Maja/Annika",https://media.cdn.bauhaus/m/1435263/15.jpg,"Das Gartenmöbel-Set 'Maja/Annika' besteht aus einem 'Maja' Gartentisch L und 4 'Annika' Gartensesseln. Der große Gartentisch mit ausziehbarer Tischplatte bietet viel Platz und ist aus besonders robusten, beständigen Materialien gefertigt."
"Allibert

Gartenmöbel-Set Girona-Miami",https://media.cdn.bauhaus/m/196250/15.jpg,Das Allibert Gartenmöbel Set Girona-Miami besticht durch schlichte Eleganz. Ein Gartentisch und vier Sessel mit Sitzkissen bieten einen idealen Platz für eine gemütliche Runde oder ein Mittagessen unter der Sonne. Die Gartenmöbel wurden aus UV- und wetterbeständigem Polypropylen gefertigt und sind besonders pflegeleicht. Dank des Steck- und Schraubsystems von Allibert ist das Gartenmöbel Set im Handumdrehen aufgebaut.
"Sunfun

Gartenmöbel-Set Maja/Pauline | Tischplatte ausziehbar",https://media.cdn.bauhaus/m/1018865/15.jpg,Das 5-teilige Gartenmöbelset Maja/Pauline von Sunfun besteht aus einem Tisch und vier Sesseln. Der moderne Gartentisch Maja von Sunfun bietet Platz für bis zu 8 Gäste. Die hochwertigen Glasplatten sind mit einer farblichen Beschichtung versehen und bestens für den Gebrauch im Freien geeignet. Das korrosionsfreie Alugestell macht den Tisch robust gegen Wind und Wetter. Der Tisch ist von 160 cm auf 210 cm ausziehbar. Der Sunfun Klubsessel Pauline besteht aus einem hochwertigem und pflegeleichtem Polyrattan-Geflecht und bietet eine bequeme und komfortable Sitzfläche. Durch sein zeitloses und modernes Design lässt er sich individuell kombinieren und passt sich jedem Ambiente an. Der Sessel lässt sich nach Belieben kombinieren und stellt somit einen passenden Hingucker auf jeder Terrasse und jedem Garten dar. Hinweis: Möbel werden ohne Dekoration verkauft.
"Sunfun

Gartenmöbel-Set Maja/My",https://media.cdn.bauhaus/m/1435267/15.jpg,"Das Gartenmöbel-Set 'Maja/My' besteht aus einem 'Maja' Gartentisch L und 4 'My' Gartensesseln. Der große Gartentisch mit ausziehbarer Tischplatte bietet viel Platz und ist aus besonders robusten, beständigen Materialien gefertigt."
Gartenmöbel-Set Zoe/Eva,https://media.cdn.bauhaus/m/1433810/15.jpg,"Das Gartenmöbel-Set ""Zoe/Eva"" besteht aus einem Sunfun 'Zoe' Gartentisch, der Sunfun 'Zoe' Gartenbank und 3 Envy 'Eva' Gartensesseln."
